CB,-31.2991388,-64.2072222,0.20
CBA,-31.3132222,-64.2036944,-6.00
CBA,-17.4213333,-66.1789444,-10.00
CBC,10.5735555,-66.0500555,-13.00
CBE,34.8580055,136.8031694,-8.00
CBH,25.4449722,60.4143611,1.00
CBI,20.8154916,106.7243916,-2.00
CBL,33.4205055,-7.6060333,-1.00
CBL,8.1212777,-63.5328888,-14.00
CBN,36.8951944,11.0889166,3.00
CBO,-9.3313277,-54.9650388,-19.00
CBU,45.5886305,-122.6112500,15.00
CBY,45.8818888,5.7573055,2.00
CC,-12.2005555,96.8409166,-2.00
CCB,11.0330833,77.0486388,-2.00
CCC,40.9296194,-72.7988583,-13.00
CCK,24.2626388,120.6178611,-2.50
CCR,38.0449194,-122.0452083,17.00
CCV,37.3475388,-75.9976527,-10.00
CDB,37.8471666,-4.8481388,-1.00
CDB,55.2672944,-162.7739972,10.00
CDC,38.7558611,16.3691388,4.00
CDO,18.4341583,-69.6673416,-12.00
CDP,39.6976944,3.4343611,1.00
CDR,24.1597222,-101.4873861,7.00
CDS,34.3690638,-100.2890277,10.00
CDV,-34.1129666,19.4778861,-26.00
CDX,31.2500000,104.3800000,-2.00
CEA,22.6765083,88.4479277,-1.00
CEC,41.7795777,-124.2408472,14.00
CEF,42.1975444,-72.5263138,-14.00
CEH,26.6650000,100.7200000,-1.00
CEK,41.0065555,28.5286111,6.00
CEN,23.1516666,113.4166666,-3.00
CEN,27.3947583,-109.8372833,9.00
CEV,44.2064722,12.3571666,2.00
CEW,30.8261750,-86.6791444,3.00
CEZ,37.3898500,-108.5617527,14.00
CFA,45.7874722,3.1921944,1.00
CFB,42.1574916,-76.1364722,-10.00
CFS,-30.3195000,153.1208888,12.00
CG,-28.1689444,153.5040833,11.00
CGG,44.6814194,-84.7285972,-6.00
CGO,34.5183333,113.8433333,-4.00
CGO,-23.6274638,-46.6546361,-22.00
CGT,31.2100000,121.1933333,-6.00
CGT,41.5100055,-87.5715472,2.00
CH,22.2195416,114.0300555,-3.00
CH,-43.5041111,172.5146388,25.00
